Wavelength[nm],1) AgNPs,2) AgNPs,3) AgNPs,4) AgNPs,5) AgNPs,6) AgNPs,7) AgNPs,8) AgNPs,9) AgNPs,11) AgNPs,12) AgNPs,13) AgNPs,14) AgNPs,15) AgNPs,16) AgNPs,17) AgNPs,18) AgNPs,19) AgNPs,20) AgNPs,21) AgNPs,22) AgNPs,23) AgNPs,24) AgNPs, 25) AgNPs,27) AgNPs,28) AgNPs,29) AgNPs,30) AgNPs
410.106,0.155405132,0.129014906,0.090225576,0.111148626,0.157173347,0.117377368,0.033314692,0.085022661,0.161533915,0.10959005,0.12360488,0.175418684,0.091146247,0.036094239,0.03539016,0.15099329,0.051211197,0.093588559,0.094224425,0.167940977,0.021389587,0.091457774,0.059179124,0.045577004,0.14019752,0.066295202,0.196996451,-0.007944615
410.69,0.183308483,0.146041922,0.110030558,0.131853074,0.170627395,0.12797842,0.060334675,0.109539369,0.179645802,0.123452873,0.152661308,0.245383694,0.103751507,0.053956366,0.050690488,0.165155282,0.071065657,0.11728179,0.119384399,0.223141619,0.039671388,0.099648517,0.062987235,0.057994494,0.166097459,0.083690198,0.227702992,0.004367958
411.274,0.212486533,0.152954643,0.126105624,0.136419477,0.176420191,0.151088106,0.069459264,0.118226373,0.178024053,0.157867995,0.160260284,0.220769737,0.095218642,0.055068858,0.051936211,0.185628781,0.070388269,0.135294663,0.155083162,0.261055919,0.044645167,0.121299617,0.066767555,0.064712875,0.182817384,0.099426038,0.230221487,0.006894388
411.859,0.221732749,0.160019408,0.133714773,0.14709102,0.191934687,0.171968501,0.0765879,0.118155876,0.202999744,0.177912861,0.15050894,0.176182504,0.099248194,0.050259287,0.058734404,0.202338583,0.066894712,0.145503784,0.173756822,0.282537677,0.048099854,0.134188969,0.076394598,0.06383807,0.200386503,0.106528348,0.235586642,0.007357887
412.443,0.220293681,0.154800209,0.147936432,0.157366461,0.20784197,0.162540256,0.075241746,0.118231611,0.241558176,0.166750919,0.141916181,0.179844184,0.11117735,0.046833706,0.067977948,0.207599431,0.059484585,0.154727538,0.180293352,0.273696517,0.06399456,0.127240892,0.088862773,0.061176433,0.19777694,0.107426698,0.251705561,0.011623571
413.027,0.239530552,0.138903873,0.165130468,0.156511572,0.200661093,0.166623779,0.068955928,0.124697838,0.230431654,0.156612664,0.130522863,0.186173458,0.11705093,0.048128366,0.071816975,0.220551292,0.054615548,0.168603226,0.180856518,0.254766403,0.059381525,0.12072622,0.106884001,0.062365101,0.198916149,0.114568985,0.248911717,0.011837216
413.611,0.270272173,0.146321942,0.194772761,0.16178193,0.203768968,0.187853088,0.088417346,0.148843416,0.224365836,0.168247781,0.143769186,0.205938195,0.125261694,0.066465805,0.085700881,0.256487505,0.062083758,0.187411765,0.181487694,0.273598569,0.047026301,0.13293867,0.129884327,0.073910198,0.216453252,0.134209282,0.271403508,0.016824743
414.195,0.277286605,0.16162701,0.230669453,0.180869884,0.227249768,0.211681935,0.116963001,0.183019593,0.233994828,0.187855456,0.175028454,0.272184903,0.12720222,0.08545981,0.105516728,0.297417226,0.070187039,0.20875964,0.201415922,0.304663447,0.049091383,0.145079953,0.145727495,0.080899621,0.234923004,0.14130454,0.315457303,0.023593935
414.779,0.274690998,0.170184524,0.248930335,0.220697773,0.236170333,0.227565811,0.142715393,0.213915656,0.247863868,0.199892949,0.202614987,0.336480239,0.130075012,0.095162068,0.123366266,0.328867411,0.072942614,0.235263516,0.237411675,0.326542893,0.053991321,0.14552226,0.152246438,0.073037015,0.260921348,0.136123024,0.347468793,0.023274326
415.363,0.299521926,0.169327642,0.26057583,0.270266267,0.242400113,0.230529786,0.162761957,0.234264369,0.308073532,0.20694876,0.232427489,0.360993291,0.142221706,0.106504051,0.137404552,0.356544845,0.084133256,0.270826371,0.271510126,0.338554432,0.051164269,0.154936669,0.160517579,0.074328676,0.28039438,0.141541643,0.398786253,0.027919765
415.947,0.342546682,0.169725739,0.288372491,0.298417352,0.263629248,0.257163558,0.169520926,0.247006025,0.359355903,0.217035277,0.246272715,0.390945588,0.143086232,0.115696187,0.146722215,0.382458087,0.100659324,0.296190807,0.295024827,0.355485596,0.046035675,0.168426609,0.172748662,0.080844729,0.292003633,0.143617101,0.459072146,0.03757963
416.531,0.359215611,0.172267513,0.317825803,0.30525586,0.264253479,0.28785251,0.171603755,0.252341658,0.327897153,0.220512661,0.234148155,0.395086245,0.125572956,0.12145968,0.157401081,0.396911289,0.092924401,0.303530342,0.31221892,0.349563034,0.049290066,0.172860832,0.181393574,0.076650597,0.296425028,0.138994729,0.431504394,0.03774956
